ranking;Studentnummer;voorspelling
1.0;419658.0;0.1928389961604888
2.0;421065.0;0.19106398224990395
3.0;419841.0;0.18233700617671153
4.0;348081.0;0.1785277796159366
5.0;424854.0;0.17513318377222986
6.0;425755.0;0.17394346395469412
7.0;424182.0;0.17168849583975593
8.0;424933.0;0.16973877954810054
9.0;425961.0;0.16966819811078993
10.0;419573.0;0.1696241327693213
11.0;418852.0;0.16851962953223565
12.0;422360.0;0.16717333623904157
13.0;419669.0;0.16673549970883042
14.0;423151.0;0.1664066838098894
15.0;421222.0;0.1662569667637949
16.0;426618.0;0.16484824726939779
17.0;428138.0;0.16455387699702617
18.0;421569.0;0.16394387543297842
19.0;423622.0;0.16368830434814438
20.0;422721.0;0.16367830122179022
21.0;426342.0;0.16341343634647384
22.0;417649.0;0.16276843258142137
23.0;421808.0;0.16254925817257107
24.0;417520.0;0.1625425977167977
25.0;427194.0;0.1622007582940336
26.0;425998.0;0.1619966398148428
27.0;426278.0;0.1617418969581861
28.0;425621.0;0.16161554221604565
29.0;371312.0;0.1615916775301135
30.0;422763.0;0.16106086010560322
31.0;425287.0;0.1609212619423503
32.0;423241.0;0.1605839737966526
33.0;423053.0;0.1605348494094522
34.0;428538.0;0.16052631914558685
35.0;418236.0;0.16032587683021526
36.0;420655.0;0.16030910096471032
37.0;425447.0;0.16022642517971467
38.0;420776.0;0.16004027893969114
39.0;386411.0;0.1599969662652109
40.0;417133.0;0.15991022744498065
41.0;415458.0;0.1598733266616369
42.0;422126.0;0.15984537474091326
43.0;419202.0;0.15961500709309676
44.0;419836.0;0.15959108487583434
45.0;418469.0;0.15949360920203193
46.0;423912.0;0.159477506134053
47.0;422881.0;0.15941962219880945
48.0;418048.0;0.15872907343867318
49.0;418404.0;0.15852669599397656
50.0;424849.0;0.15851202937750514
51.0;422265.0;0.15836813686440832
52.0;419186.0;0.1582346993547357
53.0;418050.0;0.158134896798075
54.0;423957.0;0.15794205095821331
55.0;427646.0;0.15776286029251677
56.0;428439.0;0.1575963241784869
57.0;424453.0;0.15757310794010634
58.0;424333.0;0.15743849567674087
59.0;419013.0;0.1573672383917375
60.0;416450.0;0.15735857963377511
61.0;420255.0;0.1570513846089902
62.0;425787.0;0.15687666044487916
63.0;392049.0;0.15675431754380872
64.0;427326.0;0.1565028542397374
65.0;421968.0;0.15642488841472738
66.0;422331.0;0.15638577955359353
67.0;421762.0;0.15601550897536431
68.0;424693.0;0.1556855022257957
69.0;426453.0;0.15552730876787332
70.0;427927.0;0.15543434286993302
71.0;427990.0;0.15539717071657022
72.0;422950.0;0.15512828219072197
73.0;423109.0;0.15494335700189638
74.0;424557.0;0.15489146087340744
75.0;419035.0;0.15485552375481204
76.0;419833.0;0.15468855541372967
77.0;418780.0;0.15453632465903053
78.0;422840.0;0.15452286886499578
79.0;422113.0;0.1544445349797652
80.0;421377.0;0.15378325136532464
81.0;420468.0;0.15324503143053278
82.0;421528.0;0.15288087275805515
83.0;425481.0;0.15286551678089982
84.0;424600.0;0.15282172064040567
85.0;420968.0;0.15281947556557068
86.0;420611.0;0.1527615621047781
87.0;423072.0;0.15245094266245615
88.0;420701.0;0.1524381922605474
89.0;418773.0;0.1523237064971038
90.0;419754.0;0.1521416210475807
91.0;420450.0;0.15206797407524866
92.0;421214.0;0.15192420612385404
93.0;421860.0;0.1516979029608982
94.0;431227.0;0.15163107113578364
95.0;424795.0;0.15158727330448935
96.0;421426.0;0.1514875603040666
97.0;420088.0;0.15134039703373875
98.0;424088.0;0.1511791738575557
99.0;420623.0;0.15087929998066532
100.0;418740.0;0.15067554128718963
101.0;420455.0;0.1504407306231041
102.0;420230.0;0.15027765136001534
103.0;420215.0;0.15020334546835779
104.0;426386.0;0.15009947759414016
105.0;422953.0;0.1495572026521371
106.0;420371.0;0.14951045525146492
107.0;419477.0;0.14944265301494494
108.0;425400.0;0.14921507137050408
109.0;417660.0;0.1488853607473635
110.0;424968.0;0.1488832946903791
111.0;423250.0;0.14882758089454795
112.0;422029.0;0.14866727101289448
113.0;424883.0;0.14857744710450618
114.0;419893.0;0.14857374843713053
115.0;420728.0;0.14848607256480442
116.0;425587.0;0.14815452410893956
117.0;423873.0;0.14814097457403366
118.0;420684.0;0.14796583217730633
119.0;429003.0;0.14761601013586284
120.0;426852.0;0.14749163303806687
121.0;419374.0;0.1473287251035563
122.0;422124.0;0.14717823898748109
123.0;423953.0;0.14697184101862476
124.0;427058.0;0.14680946670828057
125.0;417488.0;0.14657073144354063
126.0;421491.0;0.14655164948501131
127.0;423217.0;0.14639265255202658
128.0;429002.0;0.14622746359222213
129.0;419383.0;0.14606402312861724
130.0;418458.0;0.14597261029852182
131.0;421286.0;0.14591250440104056
132.0;424201.0;0.14577128738612516
133.0;425559.0;0.14560220406305513
134.0;417593.0;0.14551712846743162
135.0;422603.0;0.1453835938039604
136.0;408316.0;0.14517339798517775
137.0;419315.0;0.14516927189401238
138.0;423494.0;0.14486151052380145
139.0;427839.0;0.1447929869198321
140.0;426752.0;0.14402872956512985
141.0;423132.0;0.14377025403791233
142.0;421440.0;0.14204653497604985
143.0;422084.0;0.14190980112885002
144.0;423760.0;0.1409907952933887
145.0;422290.0;0.14053475219996917
146.0;431255.0;0.14034913771274943
147.0;430925.0;0.14034745799160156
148.0;420847.0;0.14019391378090898
149.0;421332.0;0.13795356372022266
150.0;424940.0;0.135118457267573
